query,entrezgene,name,symbol,alias,taxid,MGI
EPS8,13860,epidermal growth factor receptor pathway substrate 8,Eps8,AW261790,10090,MGI:104684
EPS8L2,98845,EPS8-like 2,Eps8l2,"AI042819, AW545405, Eps8r2",10090,MGI:2138828
ERCC2,13871,"excision repair cross-complementing rodent repair deficiency, complementation group 2",Ercc2,"AA407812, AU020867, AW240756, CXPD, Ercc-2",10090,MGI:95413
ERF,13875,Ets2 repressor factor,Erf,,10090,MGI:109637
FAM132B,227358,erythroferrone,Erfe,"4832406C22, Fam132b, myonectin",10090,MGI:3606476
ERGIC1,67458,endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1,Ergic1,"1200007D18Rik, maa-136",10090,MGI:1914708
ERLIN1,226144,ER lipid raft associated 1,Erlin1,"2810439N09Rik, C80197, Keo4, Spfh1",10090,MGI:2387613
ERMP1,226090,endoplasmic reticulum metallopeptidase 1,Ermp1,"D19Ertd410e, D19Wsu12e, Fxna, b2b2633Clo, mKIAA1815",10090,MGI:106250
ERN1,78943,endoplasmic reticulum (ER) to nucleus signalling 1,Ern1,"9030414B18Rik, AI225830, C85377, Ire1a, Ire1alpha",10090,MGI:1930134
ESAM,69524,endothelial cell-specific adhesion molecule,Esam,"2310008D05Rik, Esam1, W117m",10090,MGI:1916774
ESPL1,105988,"extra spindle pole bodies 1, separase",Espl1,"AL024103, AU045071, Cerp, ESP1, PRCE",10090,MGI:2146156
ESR1,13982,estrogen receptor 1 (alpha),Esr1,"ER, ER-alpha, ERa, ERalpha, ESR",10090,MGI:1352467
ESYT1,23943,extended synaptotagmin-like protein 1,Esyt1,"Fam62a, Mbc2, vp115",10090,MGI:1344426
ETS2,23872,"E26 avian leukemia oncogene 2, 3' domain",Ets2,"AU022856, Ets-2",10090,MGI:95456
EVA1C,70967,eva-1 homolog C (C. elegans),Eva1c,"1700092M14Rik, 4931408A02Rik, Fam176c",10090,MGI:1918217
EVL,14026,Ena-vasodilator stimulated phosphoprotein,Evl,"AI528774, b2b2600Clo",10090,MGI:1194884
EVPL,14027,envoplakin,Evpl,,10090,MGI:107507
EWSR1,14030,Ewing sarcoma breakpoint region 1,Ewsr1,"Ews, Ewsh",10090,MGI:99960
EXOC7,53413,exocyst complex component 7,Exoc7,"Exo70, sec70",10090,MGI:1859270
EXOSC4,109075,exosome component 4,Exosc4,"1110039I09Rik, 1500001N04Rik, Rrp41",10090,MGI:1923576
EXT1,14042,exostosin glycosyltransferase 1,Ext1,AA409028,10090,MGI:894663
EXT2,14043,exostosin glycosyltransferase 2,Ext2,AI893565,10090,MGI:108050
EXTL1,56219,exostosin-like glycosyltransferase 1,Extl1,D430033M16Rik,10090,MGI:1888742
EZR,22350,ezrin,Ezr,"AW146364, R75297, Vil2, p81",10090,MGI:98931
F13A1,74145,"coagulation factor XIII, A1 subunit",F13a1,"1200014I03Rik, AI462306, F13a",10090,MGI:1921395
F2RL1,14063,coagulation factor II (thrombin) receptor-like 1,F2rl1,"Gpcr11, PAR-2, Par2",10090,MGI:101910
FADS3,60527,fatty acid desaturase 3,Fads3,AI464531,10090,MGI:1928740
FAIM2,72393,Fas apoptotic inhibitory molecule 2,Faim2,"2900002L20Rik, Lfg, Lfg2, NMP25, Nmp35",10090,MGI:1919643
FAM102B,329739,"family with sequence similarity 102, member B",Fam102b,"1600010D10Rik, B430201A12Rik",10090,MGI:3036259
FAM110A,73847,"family with sequence similarity 110, member A",Fam110a,"1700008J10Rik, 5430432M24Rik, AI747080",10090,MGI:1921097
FAM117A,215512,"family with sequence similarity 117, member A",Fam117a,"5730593F17Rik, AW548096",10090,MGI:2144564
FAM131B,76156,"family with sequence similarity 131, member B",Fam131b,"6330503C03Rik, 6530406I18Rik, AV277466",10090,MGI:1923406
FAM131C,277743,"family with sequence similarity 131, member C",Fam131c,Gm693,10090,MGI:2685539
FAM13C,71721,"family with sequence similarity 13, member C",Fam13c,"1200015N20Rik, C030038O19Rik, mKIAA1796",10090,MGI:1918971
FAM178B,381337,"family with sequence similarity 178, member B",Fam178b,"1700024G10Rik, Gm990",10090,MGI:3026913
FAM189A2,381217,"family with sequence similarity 189, member A2",Fam189a2,"AI414343, AI666772, Gm967",10090,MGI:2685813
FAM189B,68521,"family with sequence similarity 189, member B",Fam189b,1110013L07Rik,10090,MGI:1915771
FAM20A,208659,"FAM20A, golgi associated secretory pathway pseudokinase",Fam20a,AI606893,10090,MGI:2388266
FAM53B,77938,"family with sequence similarity 53, member B",Fam53b,"A930008G19Rik, mKIAA0140",10090,MGI:1925188
FAM83G,69640,"family with sequence similarity 83, member G",Fam83g,"2310040C09Rik, AI506990, wly",10090,MGI:1916890
FAM83H,105732,"family with sequence similarity 83, member H",Fam83h,AA409316,10090,MGI:2145900
FANCA,14087,"Fanconi anemia, complementation group A",Fanca,"AW208693, FACA",10090,MGI:1341823
FANCE,72775,"Fanconi anemia, complementation group E",Fance,"2810451D06Rik, AI415634, AW209126",10090,MGI:1920025
FANCF,100040608,"Fanconi anemia, complementation group F",Fancf,A730016A17,10090,MGI:3689889
FAT2,245827,FAT atypical cadherin 2,Fat2,"EMI2, Fath2, Gm523, mKIAA0811",10090,MGI:2685369
FAU,14109,Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived),Fau,"MNSFB, MNSFbeta",10090,MGI:102547
FBL,14113,fibrillarin,Fbl,"AL022665, FIB, FLRN, RNU3IP1",10090,MGI:95486
FBLN1,14114,fibulin 1,Fbln1,,10090,MGI:95487
FBLN2,14115,fibulin 2,Fbln2,"5730577E14Rik, FIBL-2",10090,MGI:95488
FBN1,14118,fibrillin 1,Fbn1,"AI536462, B430209H23, Fib-1, Tsk",10090,MGI:95489
FBXL15,68431,F-box and leucine-rich repeat protein 15,Fbxl15,"0710008C12Rik, Fbxo37",10090,MGI:1915681
FBXL19,233902,F-box and leucine-rich repeat protein 19,Fbxl19,"6030430O11, BC059812, Fbl19",10090,MGI:3039600
FBXL2,72179,F-box and leucine-rich repeat protein 2,Fbxl2,"2810423A21Rik, Fbl3",10090,MGI:1919429
FBXL6,30840,F-box and leucine-rich repeat protein 6,Fbxl6,"AU021795, Fbl6",10090,MGI:1354705
FBXO2,230904,F-box protein 2,Fbxo2,"FBG1, FBX2, Fbs1, Fbs2, NFB42",10090,MGI:2446216
FCGR2B,14130,"Fc receptor, IgG, low affinity IIb",Fcgr2b,"AI528646, CD32, F630109E10Rik, Fc[g]RII, FcgRII",10090,MGI:95499
FCGRT,14132,Fc fragment of IgG receptor and transporter,Fcgrt,FcRn,10090,MGI:103017
FCNA,14133,ficolin A,Fcna,Fcn1,10090,MGI:1340905
FEM1A,14154,fem 1 homolog a,Fem1a,"AW611390, Eprap, Fem1aa",10090,MGI:1335089
FEN1,14156,flap structure specific endonuclease 1,Fen1,"AW538437, FEN-1",10090,MGI:102779
FEZ1,235180,fasciculation and elongation protein zeta 1 (zygin I),Fez1,"UNC-76, UNC76",10090,MGI:2670976
FGD1,14163,"FYVE, RhoGEF and PH domain containing 1",Fgd1,ZFYVE3,10090,MGI:104566
FGFR1,14182,fibroblast growth factor receptor 1,Fgfr1,"AW208770, Eask, FGFR-I, FLG, Fgfr-1",10090,MGI:95522
FGFR2,14183,fibroblast growth factor receptor 2,Fgfr2,"AU043015, AW556123, Bek, Fgfr-2, Fgfr-7",10090,MGI:95523
FGFR4,14186,fibroblast growth factor receptor 4,Fgfr4,Fgfr-4,10090,MGI:95525
FGFRL1,116701,fibroblast growth factor receptor-like 1,Fgfrl1,"FGFR5, FGFR5beta, FGFR5gamma",10090,MGI:2150920
FHAD1,329977,forkhead-associated (FHA) phosphopeptide binding domain 1,Fhad1,"2900090M10Rik, B230311F11",10090,MGI:1920323
FHL2,14200,four and a half LIM domains 2,Fhl2,"FHL-2, SLIM-3, SLIM3",10090,MGI:1338762
FHL3,14201,four and a half LIM domains 3,Fhl3,SLIM2,10090,MGI:1341092
FHOD1,234686,formin homology 2 domain containing 1,Fhod1,"BC017144, FHOS, FHOS1",10090,MGI:2679008
FIBP,58249,fibroblast growth factor (acidic) intracellular binding protein,Fibp,"2010004G08Rik, 2010005N21Rik, 3010027N18Rik",10090,MGI:1926233
FIGNL1,60530,fidgetin-like 1,Fignl1,,10090,MGI:1890648
FIGNL2,668225,fidgetin-like 2,Fignl2,EG668225,10090,MGI:3646919
FKBP10,14230,FK506 binding protein 10,Fkbp10,"AI325255, FKBP-10, FKBP-65, FKBP65, Fkbp-rs1",10090,MGI:104769
FKBP11,66120,FK506 binding protein 11,Fkbp11,"1110002O23Rik, FKBP-11",10090,MGI:1913370
FLNC,68794,"filamin C, gamma",Flnc,"1110055E19Rik, ABP-280, ABPL, Fln2",10090,MGI:95557
FLOT1,14251,flotillin 1,Flot1,reggie-2,10090,MGI:1100500
FLRT1,396184,fibronectin leucine rich transmembrane protein 1,Flrt1,"AW742165, D630040I23Rik",10090,MGI:3026647
FLT3L,14256,FMS-like tyrosine kinase 3 ligand,Flt3l,"Flt3lg, Ly72L",10090,MGI:95560
FMNL1,57778,formin-like 1,Fmnl1,"8030453N10Rik, AI553564, Fmnl, Fnrl, Frls",10090,MGI:1888994
FMNL2,71409,formin-like 2,Fmnl2,"5430425K04Rik, Man",10090,MGI:1918659
FMNL3,22379,formin-like 3,Fmnl3,"2700073B04Rik, FBP11, Wbp3, mKIAA2014",10090,MGI:109569
FN1,14268,fibronectin 1,Fn1,"E330027I09, Fn, Fn-1",10090,MGI:95566
FNDC4,64339,fibronectin type III domain containing 4,Fndc4,"2810430J06Rik, 6330410H20Rik, AB030187, AI838506, AW487863",10090,MGI:1917195
FNIP2,329679,folliculin interacting protein 2,Fnip2,"D630023B12Rik, mKIAA1450",10090,MGI:2683054
FNTA,14272,"farnesyltransferase, CAAX box, alpha",Fnta,FTA,10090,MGI:104683
FOCAD,230393,focadhesin,Focad,,10090,MGI:2676921
FOS,14281,FBJ osteosarcoma oncogene,Fos,"D12Rfj1, c-fos, cFos",10090,MGI:95574
FOSL1,14283,fos-like antigen 1,Fosl1,"AW538199, Fra1, fra-1",10090,MGI:107179
FOXD2,17301,forkhead box D2,Foxd2,"AI426778, Mf2",10090,MGI:1347471
FOXD2OS,100040736,"forkhead box D2, opposite strand",Foxd2os,9130206I24Rik,10090,MGI:2444065
FOXF1,15227,forkhead box F1,Foxf1,"AI450827, FREAC1, Foxf1a, Freac-1, HFH-8",10090,MGI:1347470
FOXF2,14238,forkhead box F2,Foxf2,"FREAC2, Fkh20, LUN",10090,MGI:1347479
FOXM1,14235,forkhead box M1,Foxm1,"AA408308, AW554517, BB238854, Fkh16, Foxm1b",10090,MGI:1347487
FOXP4,74123,forkhead box P4,Foxp4,"1200010K03Rik, 2310007G05Rik, mFKHLA",10090,MGI:1921373
FOXRED2,239554,FAD-dependent oxidoreductase domain containing 2,Foxred2,"A430097D04Rik, D15Bwg0759e, Gm304",10090,MGI:106315
FRMD4A,209630,FERM domain containing 4A,Frmd4a,"2700017I06Rik, 5330420J21, AI594879, C230040M21Rik, Frmd4",10090,MGI:1919850
FRMD5,228564,FERM domain containing 5,Frmd5,"1500032A09Rik, A930004K21Rik, R75430",10090,MGI:2442557
FSCN1,14086,fascin actin-bundling protein 1,Fscn1,"AI663989, Fan1, fascin-1",10090,MGI:1352745
FST,14313,follistatin,Fst,"AL033346, FS",10090,MGI:95586
FTH1,14319,ferritin heavy polypeptide 1,Fth1,"FHC, Fth, HFt, MFH",10090,MGI:95588
FTL1,14325,ferritin light polypeptide 1,Ftl1,"Ftl, Ftl-1, L-ferritin",10090,MGI:95589
FUCA1,71665,"fucosidase, alpha-L- 1, tissue",Fuca1,"0610006A03Rik, 9530055J05Rik, Afuc, Fuca",10090,MGI:95593
FUT10,171167,fucosyltransferase 10,Fut10,"fuc-TX, fut10A",10090,MGI:2384748
FUT11,73068,fucosyltransferase 11,Fut11,"3110009G03Rik, AI317183",10090,MGI:1920318
FUT2,14344,fucosyltransferase 2,Fut2,MFUT-II,10090,MGI:109374
FUT7,14347,fucosyltransferase 7,Fut7,"AI853193, FTVII, Fuc-TVII, FucT-VII",10090,MGI:107692
FXYD5,18301,FXYD domain-containing ion transport regulator 5,Fxyd5,"EF-8, Oit2, RIC",10090,MGI:1201785
FYB,23880,FYN binding protein,Fyb,"ADAP, B630013F22Rik, FYB-120/130, Fyb1, Slap130",10090,MGI:1346327
FZD1,14362,frizzled class receptor 1,Fzd1,"AW227548, FZ-1, Fz1",10090,MGI:1196625
FZD7,14369,frizzled class receptor 7,Fzd7,Fz7,10090,MGI:108570
FZD9,14371,frizzled class receptor 9,Fzd9,"Fz9, mfz9",10090,MGI:1313278
FZR1,56371,fizzy and cell division cycle 20 related 1,Fzr1,"AW108046, Cdh1, FZR, FZR2, Fyr",10090,MGI:1926790
G0S2,14373,G0/G1 switch gene 2,G0s2,"AI255151, AV006465",10090,MGI:1316737
G3BP1,27041,GTPase activating protein (SH3 domain) binding protein 1,G3bp1,"AI849976, B430204O07, C87777, G3bp, mKIAA4115",10090,MGI:1351465
G6PDX,14381,glucose-6-phosphate dehydrogenase X-linked,G6pdx,"G28A, G6pd, Gpdx",10090,MGI:105979
GAB1,14388,growth factor receptor bound protein 2-associated protein 1,Gab1,"AA408973, AW107238",10090,MGI:108088
GAB2,14389,growth factor receptor bound protein 2-associated protein 2,Gab2,"AI463667, D130058I17Rik, p97",10090,MGI:1333854
GABBR1,54393,"gamma-aminobutyric acid (GABA) B receptor, 1",Gabbr1,"GABAB1, GABAbR1, bM573K1.1",10090,MGI:1860139
GABRE,14404,"gamma-aminobutyric acid (GABA) A receptor, subunit epsilon",Gabre,,10090,MGI:1330235
GADD45G,23882,growth arrest and DNA-damage-inducible 45 gamma,Gadd45g,"AI327420, C86281, CR6, DDIT2, OIG37",10090,MGI:1346325
GALNS,50917,galactosamine (N-acetyl)-6-sulfate sulfatase,Galns,mFLJ00319,10090,MGI:1355303
GALNT12,230145,polypeptide N-acetylgalactosaminyltransferase 12,Galnt12,"9130206E10, A630062B03Rik, galNAc-T12, mpp-GalNAc-T12, pp-GaNTase",10090,MGI:2444664
GALNT15,78754,polypeptide N-acetylgalactosaminyltransferase 15,Galnt15,"4631401E18Rik, Galntl2, mpp-GalNAc-T15",10090,MGI:1926004
GALNT18,233733,polypeptide N-acetylgalactosaminyltransferase 18,Galnt18,"2900011G21Rik, BC024988, Galntl4, galNAc-T18, mpp-GalNAc-T18(O18)",10090,MGI:2446239
GALNT4,14426,polypeptide N-acetylgalactosaminyltransferase 4,Galnt4,AV011803,10090,MGI:894692
GAR1,68147,GAR1 ribonucleoprotein,Gar1,"AA409823, AI326794, C430047J18Rik, Nola1",10090,MGI:1930948
GARNL3,99326,GTPase activating RANGAP domain-like 3,Garnl3,AW120551,10090,MGI:2139309
GAS1,14451,growth arrest specific 1,Gas1,"AW554192, Gas-1",10090,MGI:95655
GAS2L1,78926,growth arrest-specific 2 like 1,Gas2l1,"4930500E24Rik, D0Jmb1, Gar22, TU-71.1",10090,MGI:1926176
GAS2L3,237436,growth arrest-specific 2 like 3,Gas2l3,"8430435B07Rik, Gm240",10090,MGI:1918780
GAS6,14456,growth arrest specific 6,Gas6,Gas-6,10090,MGI:95660
GAS7,14457,growth arrest specific 7,Gas7,"AW124766, B230343A10Rik, Gas7-cb",10090,MGI:1202388
GAS8,104346,growth arrest specific 8,Gas8,Gas11,10090,MGI:1202386
GATA2,14461,GATA binding protein 2,Gata2,Gata-2,10090,MGI:95662
GATA5,14464,GATA binding protein 5,Gata5,,10090,MGI:109497
GATM,67092,glycine amidinotransferase (L-arginine:glycine amidinotransferase),Gatm,"1810003P21Rik, AI314789, AT",10090,MGI:1914342
GBP6,100702,guanylate binding protein 6,Gbp6,"AI595338, GBP-6, Mpa2l",10090,MGI:2140937
GCAT,26912,glycine C-acetyltransferase (2-amino-3-ketobutyrate-coenzyme A ligase),Gcat,"AI526977, Kbl",10090,MGI:1349389
GCHFR,320415,GTP cyclohydrolase I feedback regulator,Gchfr,"2010323F13Rik, GFRP, P35",10090,MGI:2443977
GCNT2,14538,"glucosaminyl (N-acetyl) transferase 2, I-branching enzyme",Gcnt2,"5330430K10Rik, IGnT, IGnTA, IGnTB, IGnTC",10090,MGI:1100870
GDA,14544,guanine deaminase,Gda,"AU015411, AW047581, GAH",10090,MGI:95678
GDF11,14561,growth differentiation factor 11,Gdf11,"BMP-11, Bmp11",10090,MGI:1338027
GDNF,14573,glial cell line derived neurotrophic factor,Gdnf,"AI385739, ATF",10090,MGI:107430
GDPD5,233552,glycerophosphodiester phosphodiesterase domain containing 5,Gdpd5,"BC024955, Gde2",10090,MGI:2686926
GEM,14579,GTP binding protein (gene overexpressed in skeletal muscle),Gem,AV020497,10090,MGI:99844
GFER,11692,"growth factor, augmenter of liver regeneration",Gfer,"Alr, ERV1",10090,MGI:107757
GFOD1,328232,glucose-fructose oxidoreductase domain containing 1,Gfod1,"9630032O13, AI850995",10090,MGI:2145304
GFRA1,14585,glial cell line derived neurotrophic factor family receptor alpha 1,Gfra1,"AU042498, GFRalpha-1",10090,MGI:1100842
TSTA3,22122,GDP-L-fucose synthase,Gfus,"AI256181, FX, Tsta3, Tstap35b",10090,MGI:98857
GGA1,106039,"golgi associated, gamma adaptin ear containing, ARF binding protein 1",Gga1,"4930406E12Rik, AU016030, AW209092",10090,MGI:2146207
GGT6,71522,gamma-glutamyltransferase 6,Ggt6,"9030405D14Rik, AI427679, AW490214",10090,MGI:1918772
GINS2,272551,GINS complex subunit 2 (Psf2 homolog),Gins2,"2210013I18Rik, 4833427B12Rik, AI323585, Pfs2",10090,MGI:1921019
GJA1,14609,"gap junction protein, alpha 1",Gja1,"AU042049, AW546267, Cnx43, Cx43, Cx43alpha1",10090,MGI:95713
GJB3,14620,"gap junction protein, beta 3",Gjb3,"Cnx31, Cx31, Cxnc, D4Wsu144e, Gjb-3",10090,MGI:95721
GJB4,14621,"gap junction protein, beta 4",Gjb4,"Cnx30.3, Cx30.3, Cxnb, Gjb-4",10090,MGI:95722
GJC2,118454,"gap junction protein, gamma 2",Gjc2,"B230382L12Rik, Cx47, Cxno, Gja12",10090,MGI:2153060
GLB1,12091,"galactosidase, beta 1",Glb1,"AW125515, Bge, Bgl, Bgl-e, Bgl-s",10090,MGI:88151
GLI3,14634,GLI-Kruppel family member GLI3,Gli3,"AI854843, AU023367, Bph, GLI3-190, GLI3FL",10090,MGI:95729
GLIPR2,384009,GLI pathogenesis-related 2,Glipr2,"5730414A08Rik, C77180, GAPR-1",10090,MGI:1917770
GLIS1,230587,GLIS family zinc finger 1,Glis1,"Gli5, Gli6, GliH1",10090,MGI:2386723
GLIS2,83396,GLIS family zinc finger 2,Glis2,"Gli5, Klf16, Nkl",10090,MGI:1932535
GLIS3,226075,GLIS family zinc finger 3,Glis3,"4833409N03Rik, E330013K21Rik",10090,MGI:2444289
GLTP,56356,glycolipid transfer protein,Gltp,"1110001F24Rik, C76925, C77564",10090,MGI:1929253
GM10293,100039762,glyceraldehyde-3-phosphate dehydrogenase pseudogene,Gm10293,,10090,MGI:3704216
GM10327,100041399,glyceraldehyde-3-phosphate dehydrogenase pseudogene,Gm10327,,10090,MGI:3704356
GM11110,100169874,predicted gene 11110,Gm11110,,10090,MGI:3779362
GM11427,435271,schlafen 4 pseudogene,Gm11427,,10090,MGI:3651774
GM11662,666739,ribosomal protein L3 pseudogene,Gm11662,,10090,MGI:3651457
GM12193,100040073,predicted gene 12193,Gm12193,,10090,MGI:3651287
GM12286,100042799,glyceraldehyde-3-phosphate dehydrogenase pseudogene,Gm12286,,10090,MGI:3649467
GM12696,620883,predicted gene 12696,Gm12696,,10090,MGI:3649288
GM12840,,predicted gene 12840,Gm12840,,10090,
GM12963,102640839,predicted gene 12963,Gm12963,,10090,MGI:3651569
GM13372,115489445,predicted gene 13372,Gm13372,,10090,MGI:3650806
GM13431,100504593,predicted gene 13431,Gm13431,,10090,MGI:3650776
GM13464,100041245,glyceraldehyde-3-phosphate dehydrogenase pseudogene,Gm13464,,10090,MGI:3649845
GM14124,100216455,predicted gene 14124,Gm14124,"EG640962, Gm10749",10090,MGI:3652002
GM14137,623781,predicted gene 14137,Gm14137,,10090,MGI:3651144
GM14291,,predicted gene 14291,Gm14291,,10090,
GM14322,626802,predicted gene 14322,Gm14322,,10090,MGI:3652185
GM15410,,predicted gene 15410,Gm15410,,10090,
GM15767,102639797,predicted gene 15767,Gm15767,,10090,MGI:3783209
GM15867,100503471,predicted gene 15867,Gm15867,,10090,MGI:3801862
GM16104,102634174,predicted gene 16104,Gm16104,,10090,MGI:3801749
GM17300,,"predicted gene, 17300",Gm17300,,10090,
GM2830,100040543,predicted gene 2830,Gm2830,Gm16247,10090,MGI:3781002
GM3222,100041236,glyceraldehyde-3-phosphate dehydrogenase pseudogene,Gm3222,,10090,MGI:3781401
GM4804,217409,glyceraldehyde-3-phosphate dehydrogenase pseudogene,Gm4804,EG217409,10090,MGI:3646648
GM7609,665378,predicted pseudogene 7609,Gm7609,EG665378,10090,MGI:3644536
GM8177,666585,"La ribonucleoprotein domain family, member 4 pseudogene",Gm8177,,10090,MGI:3805962
GM830,329892,predicted gene 830,Gm830,,10090,MGI:2685676
GMNN,57441,geminin,Gmnn,"AW546347, Gem",10090,MGI:1927344
GNAI2,14678,"guanine nucleotide binding protein (G protein), alpha inhibiting 2",Gnai2,"C76432, Galphai2, Gia, Gnai-2, Hg1c",10090,MGI:95772
GNAS,14683,"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus",Gnas,"5530400H20Rik, A930027G11Rik, C130027O20Rik, GPSA, GSP",10090,MGI:95777
GNB2,14693,"guanine nucleotide binding protein (G protein), beta 2",Gnb2,"Gnb-2, Hg2c1",10090,MGI:95784
GNB4,14696,"guanine nucleotide binding protein (G protein), beta 4",Gnb4,"6720453A21Rik, G(beta)4, Hg2b",10090,MGI:104581
GNGT2,14710,"guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2",Gngt2,"AV096488, Hg3i",10090,MGI:893584
GNL1,14670,guanine nucleotide binding protein-like 1,Gnl1,"Gna-rs1, Gnal1",10090,MGI:95764
GNPTG,214505,"N-acetylglucosamine-1-phosphotransferase, gamma subunit",Gnptg,"6430527N14Rik, A830081F19, AU067667, AU067744, Mdcp1",10090,MGI:2147006
GPAA1,14731,GPI anchor attachment protein 1,Gpaa1,"C80044, mGAA1",10090,MGI:1202392
GPANK1,81845,G patch domain and ankyrin repeats 1,Gpank1,"Bat-4, Bat4, D17H6S54E, G5",10090,MGI:2148975
AGPAT9,231510,glycerol-3-phosphate acyltransferase 3,Gpat3,"1-AGPAT, 1-AGPAT 9, 4933407I02Rik, 4933408F15, A230097K15Rik",10090,MGI:3603816
GPC6,23888,glypican 6,Gpc6,,10090,MGI:1346322
GPD1,14555,glycerol-3-phosphate dehydrogenase 1 (soluble),Gpd1,"AI747587, GPD-C, GPDH-C, Gdc-1, Gdc1",10090,MGI:95679
GPER1,76854,G protein-coupled estrogen receptor 1,Gper1,"6330420K13Rik, CMKRL2, Ceprl, FEG-1, GPCR-Br",10090,MGI:1924104
GPR108,78308,G protein-coupled receptor 108,Gpr108,"1810015L19Rik, AA589464, C79132, Lustr2",10090,MGI:1925558
GPR137,107173,G protein-coupled receptor 137,Gpr137,AI428855,10090,MGI:2147529
GPR142,217302,G protein-coupled receptor 142,Gpr142,PGR2,10090,MGI:2668437
GPR153,100129,G protein-coupled receptor 153,Gpr153,"1110065N12Rik, AI449320, PGR1",10090,MGI:1916157
GPR161,240888,G protein-coupled receptor 161,Gpr161,"Gm208, Gm208Gpr, vl",10090,MGI:2685054
GPR162,14788,G protein-coupled receptor 162,Gpr162,"A-2, BC031437, Grca",10090,MGI:1315214
GPR182,11536,G protein-coupled receptor 182,Gpr182,"AM-R, Admr, G10-D, Gpcr17, Gpcr22",10090,MGI:109545
GPR35,64095,G protein-coupled receptor 35,Gpr35,KPG_007,10090,MGI:1929509
GPR39,71111,G protein-coupled receptor 39,Gpr39,4933415E13Rik,10090,MGI:1918361
GPR88,64378,G-protein coupled receptor 88,Gpr88,"AW061286, Strg",10090,MGI:1927653
GPRC5B,64297,"G protein-coupled receptor, family C, group 5, member B",Gprc5b,"AW125761, Raig2",10090,MGI:1927596
GPSM2,76123,"G-protein signalling modulator 2 (AGS3-like, C. elegans)",Gpsm2,"6230410J09Rik, LGN, Pins",10090,MGI:1923373
GPSM3,106512,"G-protein signalling modulator 3 (AGS3-like, C. elegans)",Gpsm3,"AA960287, AGS4",10090,MGI:2146785
GPT2,108682,glutamic pyruvate transaminase (alanine aminotransferase) 2,Gpt2,"4631422C05Rik, ALT2, AU014768, AU041193, C87201",10090,MGI:1915391
GPX1,14775,glutathione peroxidase 1,Gpx1,"AI195024, AL033363, CGPx, GPx-1, GSHPx-1",10090,MGI:104887
GPX8,69590,glutathione peroxidase 8 (putative),Gpx8,"2310016C16Rik, AU017063",10090,MGI:1916840
GRAMD4,223752,GRAM domain containing 4,Gramd4,9930016O13,10090,MGI:2676308
GREM1,23892,"gremlin 1, DAN family BMP antagonist",Grem1,"Cktsf1b1, Drm, Grem, ld",10090,MGI:1344337
GRHPR,76238,glyoxylate reductase/hydroxypyruvate reductase,Grhpr,"1110059D05Rik, 6430629L09Rik, Glxr",10090,MGI:1923488
GRID2,14804,"glutamate receptor, ionotropic, delta 2",Grid2,"B230104L07Rik, GluD2, GluRdelta2, Lc, Lc<J>",10090,MGI:95813
GRIN1,14810,"glutamate receptor, ionotropic, NMDA1 (zeta 1)",Grin1,"GluN1, GluRdelta1, GluRzeta1, M100174, NMD-R1",10090,MGI:95819
GRINA,66168,"glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding)",Grina,"1110025J15Rik, Lag, Tmbim3",10090,MGI:1913418
ADRBK1,110355,G protein-coupled receptor kinase 2,Grk2,"Adrbk-1, Adrbk1, Bark-1, beta ARK, betaARK1",10090,MGI:87940
GRN,14824,granulin,Grn,"GP88, PCDGF, PEPI, Pgrn, epithelin",10090,MGI:95832
GRWD1,101612,glutamate-rich WD repeat containing 1,Grwd1,"A301, AI504353, Grwd, Wdr28",10090,MGI:2141989
GSDMD,69146,gasdermin D,Gsdmd,"1810036L03Rik, AW558049, DF5L, Dfna5l, GsdmD-1",10090,MGI:1916396
GSN,227753,gelsolin,Gsn,ADF,10090,MGI:95851
GSTK1,76263,glutathione S-transferase kappa 1,Gstk1,"0610025I19Rik, AW260476, DsbA-L",10090,MGI:1923513
GSTP1,14870,"glutathione S-transferase, pi 1",Gstp1,GstpiB,10090,MGI:95865
GSTT1,14871,"glutathione S-transferase, theta 1",Gstt1,"AI255817, Gstt1-1",10090,MGI:107379
GSTT3,103140,"glutathione S-transferase, theta 3",Gstt3,AI118089,10090,MGI:2143526
GTF2F1,98053,"general transcription factor IIF, polypeptide 1",Gtf2f1,"2810405L04Rik, C76800, RAP74",10090,MGI:1923848
GTF3C1,233863,general transcription factor III C 1,Gtf3c1,,10090,MGI:107887
GTPBP1,14904,GTP binding protein 1,Gtpbp1,"AL022987, AW045683, C85212, GP-1, Gtpbp",10090,MGI:109443
GTPBP2,56055,GTP binding protein 2,Gtpbp2,nmf205,10090,MGI:1860138
GTSE1,29870,G two S phase expressed protein 1,Gtse1,"B99, Gtse-1",10090,MGI:1352755
GUCA1A,14913,guanylate cyclase activator 1a (retina),Guca1a,"GC-A, Gcap1, Guca1, mGCAP1",10090,MGI:102770
GULP1,70676,"GULP, engulfment adaptor PTB domain containing 1",Gulp1,"3110030A04Rik, 5730529O06Rik, CED-6, Ced6, GULP",10090,MGI:1920407
GYPC,71683,glycophorin C,Gypc,"0610037F22Rik, Cd236r",10090,MGI:1098566
